,time,name,not_done,done,tagged_ratio
257,1573696391,2019-11-13T20:53:11.518403,19,237,0.07421875
258,1573696361,2019-11-13T20:52:41.602378,20,236,0.078125
259,1573696358,2019-11-13T20:52:38.648628,20,236,0.078125
260,1573696342,2019-11-13T20:52:22.259287,20,236,0.078125
261,1573696339,2019-11-13T20:52:19.359032,20,236,0.078125
262,1573696232,2019-11-13T20:50:32.631153,20,236,0.078125
263,1573696229,2019-11-13T20:50:29.453094,20,236,0.078125
264,1573696182,2019-11-13T20:49:42.704862,21,235,0.08203125
265,1573696179,2019-11-13T20:49:39.334712,21,235,0.08203125
266,1573696118,2019-11-13T20:48:38.885658,22,234,0.0859375
267,1573696111,2019-11-13T20:48:31.625673,22,234,0.0859375
268,1573696063,2019-11-13T20:47:43.273778,23,233,0.08984375
269,1573695915,2019-11-13T20:45:15.581006,23,233,0.08984375
270,1573695912,2019-11-13T20:45:12.482433,23,233,0.08984375
271,1573695846,2019-11-13T20:44:06.818401,24,232,0.09375
272,1573695843,2019-11-13T20:44:03.859035,24,232,0.09375
273,1573695764,2019-11-13T20:42:44.278465,25,231,0.09765625
274,1573695761,2019-11-13T20:42:41.073900,25,231,0.09765625
275,1573695707,2019-11-13T20:41:47.288611,26,230,0.1015625
276,1573695700,2019-11-13T20:41:40.068966,26,230,0.1015625
277,1573695623,2019-11-13T20:40:23.298713,26,230,0.1015625
278,1573695619,2019-11-13T20:40:19.471615,26,230,0.1015625
279,1573695490,2019-11-13T20:38:10.013473,27,229,0.10546875
280,1573695272,2019-11-13T20:34:32.831500,28,229,0.10894941634241245
281,1573695270,2019-11-13T20:34:30.486239,28,229,0.10894941634241245
282,1573695262,2019-11-13T20:34:22.427467,29,228,0.11284046692607004
283,1573695260,2019-11-13T20:34:20.047762,29,228,0.11284046692607004
284,1573695249,2019-11-13T20:34:09.444401,30,227,0.11673151750972763
285,1573695247,2019-11-13T20:34:07.565053,30,227,0.11673151750972763
286,1573695207,2019-11-13T20:33:27.999135,30,227,0.11673151750972763
287,1573695205,2019-11-13T20:33:25.573530,30,227,0.11673151750972763
288,1573695170,2019-11-13T20:32:50.855758,30,227,0.11673151750972763
289,1573695168,2019-11-13T20:32:48.647265,30,227,0.11673151750972763
290,1573695129,2019-11-13T20:32:09.623217,31,226,0.12062256809338522
291,1573695127,2019-11-13T20:32:07.434758,31,226,0.12062256809338522
292,1573695087,2019-11-13T20:31:27.636316,31,226,0.12062256809338522
293,1573695085,2019-11-13T20:31:25.458073,31,226,0.12062256809338522
294,1573695078,2019-11-13T20:31:18.445533,32,225,0.1245136186770428
295,1573695076,2019-11-13T20:31:16.341304,32,225,0.1245136186770428
296,1573695068,2019-11-13T20:31:08.931834,33,224,0.12840466926070038
