file,size(BYTE),size(KB),size(MB),resolution(DPI)
Florence/20180917a_jpgs/jpgs/P26050981.jpg,6016692,5875.675781,5.73796463,96
Florence/20180917a_jpgs/jpgs/P26051375.jpg,7486504,7311.039063,7.139686584,96
Florence/20180917a_jpgs/jpgs/P26051695.jpg,13085880,12779.17969,12.47966766,96
Florence/20180917a_jpgs/jpgs/P26051728.jpg,10851839,10597.49902,10.34912014,96
Florence/20180917a_jpgs/jpgs/P26052035.jpg,6185746,6040.767578,5.899187088,96
Florence/20180917a_jpgs/jpgs/P26052530.jpg,9312767,9094.499023,8.881346703,96
Florence/20180917a_jpgs/jpgs/P26054646.jpg,11732599,11457.61621,11.18907833,96
Florence/20180917a_jpgs/jpgs/P26055550.jpg,5342071,5216.866211,5.094595909,96
Florence/20180917a_jpgs/jpgs/P26055598.jpg,15783052,15413.13672,15.05189133,96
Florence/20180917a_jpgs/jpgs/P26055643.jpg,13050000,12744.14063,12.44544983,96
Florence/20180917a_jpgs/jpgs/P26055752.jpg,6685739,6529.041992,6.37601757,96
Florence/20180917a_jpgs/jpgs/P26055994.jpg,10427948,10183.54297,9.94486618,96
Florence/20180917a_jpgs/jpgs/P26056148.jpg,4434219,4330.291992,4.228800774,96
Florence/20180917a_jpgs/jpgs/P26056217.jpg,9827220,9596.894531,9.371967316,96
Florence/20180917a_jpgs/jpgs/P26056347.jpg,7980258,7793.220703,7.610567093,96
Florence/20180917a_jpgs/jpgs/P26056467.jpg,5808757,5672.614258,5.539662361,96
Florence/20180917a_jpgs/jpgs/P26056519.jpg,7996627,7809.206055,7.626177788,96
Florence/20180917a_jpgs/jpgs/P26056537.jpg,5652670,5520.185547,5.390806198,96
Florence/20180917a_jpgs/jpgs/P26056540.jpg,7147535,6980.014648,6.816420555,96
Florence/20180917a_jpgs/jpgs/P26057104.jpg,8352965,8157.192383,7.966008186,96
Florence/20180917a_jpgs/jpgs/P26057207.jpg,7701676,7521.167969,7.344890594,96
Florence/20180917a_jpgs/jpgs/P26058088.jpg,5998714,5858.119141,5.720819473,96
Florence/20180917a_jpgs/jpgs/P26058230.jpg,4615776,4507.59375,4.401947021,96
Florence/20180917a_jpgs/jpgs/P26058284.jpg,7590859,7412.948242,7.239207268,96
Florence/20180917a_jpgs/jpgs/P26058366.jpg,6765287,6606.725586,6.451880455,96
Florence/20180917a_jpgs/jpgs/P26058399.jpg,6886106,6724.712891,6.567102432,96
Florence/20180917a_jpgs/jpgs/P26058529.jpg,7509382,7333.380859,7.161504745,96
Florence/20180917a_jpgs/jpgs/P26058725.jpg,6392509,6242.68457,6.096371651,96
Florence/20180917a_jpgs/jpgs/P26058806.jpg,6807560,6648.007813,6.492195129,96
Florence/20180917a_jpgs/jpgs/P26059093.jpg,7330620,7158.808594,6.991024017,96
Florence/20180917a_jpgs/jpgs/P26059123.jpg,7323947,7152.291992,6.984660149,96
Florence/20180917a_jpgs/jpgs/P26059190.jpg,7232715,7063.198242,6.897654533,96
Florence/20180917a_jpgs/jpgs/P26059380.jpg,8187203,7995.31543,7.807925224,96
Florence/20180917a_jpgs/jpgs/P26059455.jpg,6164993,6020.500977,5.879395485,96
Florence/20180917a_jpgs/jpgs/P26059464.jpg,8074294,7885.052734,7.700246811,96
